SUKL kod;Celkova cena;Datum zmeny;Zdroj
1070E;8.12;15.10.2024;mzsr
1072A;9.52;15.10.2024;mzsr
1072E;28.41;15.10.2024;mzsr
1074E;26.36;15.10.2024;mzsr
1076E;39.37;15.10.2024;mzsr
10791;36.39;15.10.2024;mzsr
10795;109.17;15.10.2024;mzsr
1082A;14.28;15.10.2024;mzsr
10872;2.40;15.10.2024;mzsr
1087D;74.13;15.10.2024;mzsr
10884;0.99;15.10.2024;mzsr
10886;1.98;15.10.2024;mzsr
10890;48.80;15.10.2024;mzsr
10898;0.49;15.10.2024;mzsr
10899;0.98;15.10.2024;mzsr
10902;4.90;15.10.2024;mzsr
10908;6.34;15.10.2024;mzsr
10914;68.95;15.10.2024;mzsr
10915;68.74;15.10.2024;mzsr
10916;68.74;15.10.2024;mzsr
10917;68.74;15.10.2024;mzsr
10925;21.39;15.10.2024;mzsr
10947;39.12;15.10.2024;mzsr
1096E;133.05;15.10.2024;mzsr
11032;1.50;15.10.2024;mzsr
1115C;8.12;15.10.2024;mzsr
1118B;27.68;15.10.2024;mzsr
1121D;66.64;15.10.2024;mzsr
1122D;133.28;15.10.2024;mzsr
1123D;399.84;15.10.2024;mzsr
1124C;28.41;15.10.2024;mzsr
1138B;4.25;15.10.2024;mzsr
1139B;7.08;15.10.2024;mzsr
11477;3.17;15.10.2024;mzsr
11485;17.83;15.10.2024;mzsr
1149E;180.00;15.10.2024;mzsr
11500;32.60;15.10.2024;mzsr
1153D;7.20;02.09.2025;mzsr
1154D;10.80;02.09.2025;mzsr
11604;3.53;15.10.2024;mzsr
11645;2355.53;15.10.2024;mzsr
11647;2762.27;15.10.2024;mzsr
1167E;9.86;15.10.2024;mzsr
11706;17.91;15.10.2024;mzsr
1179D;353.16;15.10.2024;mzsr
11806;64.40;15.10.2024;mzsr
1180D;1059.48;15.10.2024;mzsr
11814;7.28;15.10.2024;mzsr
11815;18.20;15.10.2024;mzsr
1182D;221.63;15.10.2024;mzsr
1183D;183.80;15.10.2024;mzsr
1184A;58.10;15.10.2024;mzsr
1184D;183.80;15.10.2024;mzsr
1184E;2.25;15.10.2024;mzsr
11853;3.62;15.10.2024;mzsr
1191B;2475.74;15.10.2024;mzsr
1198D;507.20;15.10.2024;mzsr
1200E;2.88;04.08.2025;mzsr
1203E;8.64;04.08.2025;mzsr
1204D;760.74;15.10.2024;mzsr
12061;10.22;15.10.2024;mzsr
12085;10.57;15.10.2024;mzsr
12098;17.83;15.10.2024;mzsr
1210B;28.87;15.10.2024;mzsr
12118;32.60;15.10.2024;mzsr
1211A;58.10;15.10.2024;mzsr
12124;2.02;15.10.2024;mzsr
1215B;29.33;15.10.2024;mzsr
1216E;6.00;15.10.2024;mzsr
1218C;29.61;15.10.2024;mzsr
1220B;29.29;15.10.2024;mzsr
1224C;111.60;15.10.2024;mzsr
1224D;41.51;15.10.2024;mzsr
1228B;9.08;15.10.2024;mzsr
1229B;27.23;15.10.2024;mzsr
1231E;3.53;15.10.2024;mzsr
12357;5.28;15.10.2024;mzsr
12368;17.83;15.10.2024;mzsr
1236A;40.10;15.10.2024;mzsr
12386;32.60;15.10.2024;mzsr
12439;14.39;15.10.2024;mzsr
1243A;80.19;15.10.2024;mzsr
12459;0.52;15.10.2024;mzsr
12460;1.30;15.10.2024;mzsr
1247C;11.47;15.10.2024;mzsr
12494;4.31;15.10.2024;mzsr
1250A;20.05;15.10.2024;mzsr
12528;8.66;15.10.2024;mzsr
12581;2.10;15.10.2024;mzsr
12663;2.72;15.10.2024;mzsr
12664;13.60;15.10.2024;mzsr
12669;6.90;15.10.2024;mzsr
12670;13.79;15.10.2024;mzsr
12701;40.82;15.10.2024;mzsr
12735;2.16;15.10.2024;mzsr
12736;4.32;15.10.2024;mzsr
1273E;10.47;15.10.2024;mzsr
12742;2.90;15.10.2024;mzsr
1275C;45.23;15.10.2024;mzsr
1278E;36.65;15.10.2024;mzsr
12848;2.40;15.10.2024;mzsr
12849;6.00;15.10.2024;mzsr
1284E;1.33;15.10.2024;mzsr
1286E;3.32;15.10.2024;mzsr
1287C;24.99;15.10.2024;mzsr
12891;0.44;15.10.2024;mzsr
12892;0.89;15.10.2024;mzsr
12894;0.44;15.10.2024;mzsr
12895;0.89;15.10.2024;mzsr
1291C;99.89;15.10.2024;mzsr
12967;0.22;15.10.2024;mzsr
1300A;6644.89;15.10.2024;mzsr
13024;105.82;15.10.2024;mzsr
13039;22.94;15.10.2024;mzsr
1303B;3998.76;15.10.2024;mzsr
1304A;5.28;15.10.2024;mzsr
13052;62.24;15.10.2024;mzsr
13059;79.11;15.10.2024;mzsr
1305C;1.68;15.10.2024;mzsr
1306A;15.84;15.10.2024;mzsr
13102;5.04;15.10.2024;mzsr
1313C;2440.00;15.10.2024;mzsr
1313E;17.75;15.10.2024;mzsr
13141;550.49;15.10.2024;mzsr
13142;275.25;15.10.2024;mzsr
13143;137.62;15.10.2024;mzsr
13175;3.09;15.10.2024;mzsr
1317E;62.12;15.10.2024;mzsr
13189;3.33;15.10.2024;mzsr
13225;32.41;15.10.2024;mzsr
13227;28.61;15.10.2024;mzsr
1326C;143.60;15.10.2024;mzsr
13314;3.60;15.10.2024;mzsr
13426;12.66;15.10.2024;mzsr
13427;18.00;15.10.2024;mzsr
